type,open_time,close_time,entry_price,close_price,balance_before,balance_after,profit,profit_percent,fee_paid,duration_days,duration_hours,duration_minutes
LONG,2025-11-26 21:15:00.000000 ,2025-11-27 13:30:00.000000 ,89831.97,90715.05,1052.18,1061.99,9.81,0.93,0.5313,0,16,15
LONG,2025-11-27 19:45:00.000000 ,2025-11-28 01:30:00.000000 ,91712.8,90945.0,1061.99,1052.58,-9.42,-0.89,0.5266,0,5,45
LONG,2025-11-28 12:00:00.000000 ,2025-11-28 18:15:00.000000 ,91437.64,90893.68,1052.58,1045.79,-6.78,-0.64,0.5232,0,6,15
SHORT,2025-11-29 09:45:00.000000 ,2025-11-29 14:30:00.000000 ,90582.84,90668.48,1045.79,1044.28,-1.51,-0.14,0.5224,0,4,45
LONG,2025-11-30 15:30:00.000000 ,2025-11-30 20:45:00.000000 ,91576.63,91278.04,1044.28,1040.36,-3.93,-0.38,0.5204,0,5,15
SHORT,2025-12-01 03:15:00.000000 ,2025-12-01 22:15:00.000000 ,86398.02,86510.11,1040.36,1038.49,-1.87,-0.18,0.5195,0,19,0
LONG,2025-12-02 19:30:00.000000 ,2025-12-03 12:30:00.000000 ,92017.65,92730.69,1038.49,1046.01,7.52,0.72,0.5233,0,17,0
LONG,2025-12-03 21:30:00.000000 ,2025-12-04 06:45:00.000000 ,93276.21,93120.99,1046.01,1043.75,-2.26,-0.22,0.5221,0,9,15
SHORT,2025-12-05 10:00:00.000000 ,2025-12-06 03:00:00.000000 ,91128.55,89390.9,1043.75,1063.12,19.37,1.86,0.5318,0,17,0
SUMMARY,2025-01-01 00:30:00.000000 ,2025-12-06 23:15:00.000000 ,,,1000.0,1063.1181929576562,63.11819295765622,6.3118192957656305,159.68346517951932,339,22,45
